old_code,old_name_ja,new_code,new_name_ja,merged_year,reason,source
33362,邑久町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
33401,灘崎町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
33441,船穂町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
33442,金光町,33216,浅口市,2006,official record not seen in vacancy surveys,Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
33443,鴨方町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
33503,真備町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
33582,落合町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
34206,因島市,,,2006,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
34311,音戸町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
34323,大野町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
34324,湯来町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
34327,宮島町,,,2005,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
34402,黒瀬町,,,,disappeared after 2003 survey; no entry in official table (pre-2005-04 merger — successor needs the 平成合併 archive),empirical (vacancy survey code disappearance)
34430,瀬戸田町,,,2006,official record without a linkable 新設 successor (absorption/編入),Soumu 全国地方公共団体コード改正一覧表 (2005-04-01 onward)
