station_id,name,name_ja,name_source,lat,lng,pref,operators,merge_confidence,member_count
st_00145,Mitsukoshimae,三越前,odpt,35.686051,139.773331,Tokyo,JR East;Tokyo Metro,high,3
st_00146,Yotsuya-sanchome,四谷三丁目,odpt,35.687835,139.719325,Tokyo,Tokyo Metro,single,1
st_00147,Morishita,森下,odpt,35.687954,139.797437,Tokyo,Tokyo Metropolitan Bureau of Transportation,high,2
st_00148,Kikukawa,菊川,odpt,35.688399,139.806057,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00149,Shinjuku-gyoemmae,新宿御苑前,odpt,35.688525,139.710915,Tokyo,Tokyo Metro,single,1
st_00150,Hamacho,浜町,odpt,35.688601,139.787725,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00151,Sumiyoshi,住吉,odpt,35.688872,139.815695,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00152,Nishi-ojima,西大島,odpt,35.689391,139.826231,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00153,Ojima,大島,odpt,35.689752,139.834705,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00154,Shibasaki-Taiikukan,柴崎体育館,odpt,35.689800,139.409300,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00155,Nishi-shinjuku-gochome,西新宿五丁目,odpt,35.689892,139.684545,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00156,Higashi-ojima,東大島,odpt,35.689959,139.847255,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00157,Kodemmacho,小伝馬町,odpt,35.690423,139.778758,Tokyo,Tokyo Metro,single,1
st_00158,Takebashi,竹橋,odpt,35.690440,139.757670,Tokyo,Tokyo Metro,single,1
st_00159,Tochomae,都庁前,odpt,35.690607,139.692677,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00160,Nakano-fujimicho,中野富士見町,odpt,35.690820,139.668155,Tokyo,Tokyo Metro,single,1
st_00161,Myoden,妙典,odpt,35.691014,139.924286,Chiba,Tokyo Metro,single,1
st_00162,Shinjuku-sanchome,新宿三丁目,odpt,35.690935,139.705244,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00163,Ichigaya,市ケ谷,odpt,35.692333,139.736934,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,4
st_00164,Nakano-Shimbashi,中野新橋,odpt,35.691685,139.674001,Tokyo,Tokyo Metro,single,1
st_00165,Higashi-nihombashi,東日本橋,odpt,35.692026,139.783946,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,3
st_00166,Akebonobashi,曙橋,odpt,35.692402,139.722317,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00167,Shinjuku,新宿,odpt,35.690679,139.699276,Tokyo,JR East;Keio Corporation;Odakyu Electric Railway;Seibu Railway;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,13
st_00168,Mizue,瑞江,odpt,35.693510,139.897700,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00169,Kanda,神田,odpt,35.693715,139.770890,Tokyo,JR East;Tokyo Metro,high,4
st_00170,Nishi-shinjuku,西新宿,odpt,35.694515,139.692560,Tokyo,Tokyo Metro,single,1
st_00171,Ochanomizu,御茶ノ水,odpt,35.696808,139.765940,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,6
st_00172,Jimbocho,神保町,odpt,35.695775,139.757918,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00173,Kudanshita,九段下,odpt,35.695713,139.751373,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00174,Akihabara,秋葉原,odpt,35.697504,139.774975,Tokyo,JR East;Metropolitan Intercity Railway;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,6
st_00175,Ryogoku,両国,odpt,35.696807,139.797469,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,2
st_00176,Kinshicho,錦糸町,odpt,35.697441,139.814957,Tokyo,JR East;Tokyo Metro,high,3
st_00177,Shin-nakano,新中野,odpt,35.697475,139.669510,Tokyo,Tokyo Metro,single,1
st_00178,Asakusabashi,浅草橋,odpt,35.697494,139.786335,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,2
st_00179,Shin-koenji,新高円寺,odpt,35.697860,139.648510,Tokyo,Tokyo Metro,single,1
st_00180,Nakano-sakaue,中野坂上,odpt,35.697352,139.682436,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00181,Higashi-shinjuku,東新宿,odpt,35.698893,139.707640,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00182,Higashi-koenji,東高円寺,odpt,35.697965,139.658295,Tokyo,Tokyo Metro,single,1
st_00183,Wakamatsu-kawada,若松河田,odpt,35.699188,139.718043,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00184,Minami-asagaya,南阿佐ケ谷,odpt,35.699455,139.635575,Tokyo,Tokyo Metro,single,1
st_00185,Tachikawa,立川,odpt,35.697850,139.412650,Tokyo,JR East;Tokyo Tama Intercity Monorail,high,5
st_00186,Ushigome-yanagicho,牛込柳町,odpt,35.699501,139.725040,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00187,Ushigome-kagurazaka,牛込神楽坂,odpt,35.700911,139.735894,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00188,Suehirocho,末広町,odpt,35.702780,139.771762,Tokyo,Tokyo Metro,single,1
st_00189,Iidabashi,飯田橋,odpt,35.701807,139.744675,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,5
st_00190,Kuramae,蔵前,odpt,35.704358,139.791551,Tokyo,Tokyo Metropolitan Bureau of Transportation,high,2
st_00191,Baraki-nakayama,原木中山,odpt,35.703300,139.941915,Chiba,Tokyo Metro,single,1
st_00192,Suidobashi,水道橋,odpt,35.703460,139.755147,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,2
st_00193,Kagurazaka,神楽坂,odpt,35.703865,139.734520,Tokyo,Tokyo Metro,single,1
st_00194,Ogikubo,荻窪,odpt,35.704175,139.619760,Tokyo,JR East;Tokyo Metro,high,3
st_00195,Waseda,早稲田,odpt,35.705680,139.722190,Tokyo,Tokyo Metro,single,1
st_00196,Nakano,中野,odpt,35.705740,139.665605,Tokyo,JR East;Tokyo Metro,high,3
st_00197,Shinozaki,篠崎,odpt,35.706022,139.903796,Chiba,Tokyo Metropolitan Bureau of Transportation,single,1
st_00198,Yushima,湯島,odpt,35.706805,139.769981,Tokyo,Tokyo Metro,single,1
st_00199,Shin-okachimachi,新御徒町,odpt,35.707059,139.782053,Tokyo,Metropolitan Intercity Railway;Tokyo Metropolitan Bureau of Transportation,high,2
st_00200,Higashi-nakano,東中野,odpt,35.707160,139.683112,Tokyo,JR East;Tokyo Metropolitan Bureau of Transportation,high,2
st_00201,Nishi-Funabashi,西船橋,odpt,35.707174,139.958767,Chiba,JR East;Tokyo Metro;Toyo Rapid Railway,high,5
st_00202,Hongo-sanchome,本郷三丁目,odpt,35.707118,139.760339,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,2
st_00203,Nishi-waseda,西早稲田,odpt,35.707806,139.709120,Tokyo,Tokyo Metro,single,1
st_00204,Okachimachi,御徒町,odpt,35.707456,139.774184,Tokyo,JR East;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,5
st_00205,Honjo-azumabashi,本所吾妻橋,odpt,35.708565,139.804397,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00206,Asakusa,浅草,odpt,35.709833,139.797158,Tokyo,Tobu Railway;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,3
st_00207,Edogawabashi,江戸川橋,odpt,35.709295,139.734130,Tokyo,Tokyo Metro,single,1
st_00208,Korakuen,後楽園,odpt,35.708430,139.752105,Tokyo,Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,4
st_00209,Tawaramachi,田原町,odpt,35.709917,139.790306,Tokyo,Tokyo Metro,single,1
st_00210,Takamatsu,高松,odpt,35.710000,139.413300,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00211,Ochiai,落合,odpt,35.710635,139.685965,Tokyo,Tokyo Metro,single,1
st_00212,Oshiage,押上,odpt,35.709646,139.813364,Tokyo,Keisei Electric Railway;Tobu Railway;Tokyo Metro;Tokyo Metropolitan Bureau of Transportation,high,4
st_00213,Inaricho,稲荷町,odpt,35.711389,139.782210,Tokyo,Tokyo Metro,single,1
st_00214,Waseda,早稲田,odpt,35.711760,139.719003,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00215,Ueno,上野,odpt,35.711697,139.776343,Tokyo,JR East;Keisei Electric Railway;Tokyo Metro,high,13
st_00216,Omokagebashi,面影橋,odpt,35.713012,139.714199,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00217,Takadanobaba,高田馬場,odpt,35.713280,139.705045,Tokyo,JR East;Seibu Railway;Tokyo Metro,high,3
st_00218,Nakai,中井,odpt,35.713935,139.686296,Tokyo,Seibu Railway;Tokyo Metropolitan Bureau of Transportation,high,2
st_00219,Asakusa,浅草,odpt,35.714000,139.792390,Tokyo,Metropolitan Intercity Railway,single,1
st_00220,Tachihi,立飛,odpt,35.714300,139.417100,Tokyo,Tokyo Tama Intercity Monorail,single,1
st_00221,Gakushuinshita,学習院下,odpt,35.716347,139.712529,Tokyo,Tokyo Metropolitan Bureau of Transportation,single,1
st_00222,Myogadani,茗荷谷,odpt,35.717200,139.736895,Tokyo,Tokyo Metro,single,1
